+-------+--------+------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
| COUNT | METHOD |                                     URI                                      |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX  | 5XX |
+-------+--------+------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
| 53058 | POST   | /api/condition/[0-9a-z-]+                                                    | 0.004 | 0.124 | 2756.095 | 0.052 | 0.104 |   0 | 49487 |   0 | 3571 |   0 |
|  1318 | GET    | /api/isu/[0-9a-z-]+/icon                                                     | 0.004 | 0.528 |  191.314 | 0.145 | 0.420 |   0 |  1265 |   0 |   53 |   0 |
|  1355 | GET    | /api/condition/[0-9a-z-]+                                                    | 0.020 | 0.616 |  183.178 | 0.135 | 0.412 |   0 |  1230 |   0 |  125 |   0 |
|   794 | GET    | /api/isu/[0-9a-z-]                                                           | 0.004 | 0.452 |  114.086 | 0.144 | 0.368 |   0 |   654 |   0 |  140 |   0 |
|    64 | GET    | /api/trend                                                                   | 0.036 | 1.012 |   57.101 | 0.892 | 1.012 |   0 |     9 |   0 |   55 |   0 |
|   199 | GET    | /api/isu                                                                     | 0.016 | 0.692 |   50.298 | 0.253 | 0.568 |   0 |   181 |   0 |   18 |   0 |
|   242 | POST   | /api/auth                                                                    | 0.004 | 0.460 |   21.244 | 0.088 | 0.368 |   0 |    98 |   0 |  144 |   0 |
|   139 | GET    | /assets/vendor.ee7444dd.js                                                   | 0.004 | 0.400 |   18.513 | 0.133 | 0.396 |   0 |    67 |  72 |    0 |   0 |
|    55 | POST   | /api/isu                                                                     | 0.004 | 0.352 |   10.028 | 0.182 | 0.352 |   0 |    51 |   0 |    4 |   0 |
|   131 | GET    | /                                                                            | 0.008 | 0.148 |    8.964 | 0.068 | 0.140 |   0 |   111 |  20 |    0 |   0 |
|    96 | GET    | /api/user/me                                                                 | 0.004 | 0.476 |    8.724 | 0.091 | 0.476 |   0 |    44 |   0 |   52 |   0 |
|   139 | GET    | /assets/index.23dac98b.js                                                    | 0.004 | 0.168 |    6.564 | 0.047 | 0.156 |   0 |    67 |  72 |    0 |   0 |
|   139 | GET    | /assets/favicon.d0f5f504.svg                                                 | 0.004 | 0.164 |    6.544 | 0.047 | 0.156 |   0 |    67 |  72 |    0 |   0 |
|   139 | GET    | /assets/index.144d8ca8.css                                                   | 0.004 | 0.164 |    6.460 | 0.046 | 0.156 |   0 |    67 |  72 |    0 |   0 |
|   139 | GET    | /assets/logo_white.svg                                                       | 0.008 | 0.160 |    6.216 | 0.045 | 0.144 |   0 |    67 |  72 |    0 |   0 |
|    66 | GET    | /assets/logo_orange.svg                                                      | 0.004 | 0.160 |    5.244 | 0.079 | 0.160 |   0 |    66 |   0 |    0 |   0 |
|    56 | POST   | /api/signout                                                                 | 0.004 | 0.440 |    4.860 | 0.087 | 0.440 |   0 |    36 |   0 |   20 |   0 |
|     1 | POST   | /initialize                                                                  | 0.288 | 0.288 |    0.288 | 0.288 | 0.288 |   0 |     1 |   0 |    0 |   0 |
|    30 | GET    | /isu/[0-9a-z-]+/condition                                                    | 0.000 | 0.008 |    0.044 | 0.001 | 0.008 |   0 |    10 |  20 |    0 |   0 |
|    10 | GET    | /isu/[0-9a-z-]+                                                              | 0.000 | 0.004 |    0.016 | 0.002 | 0.004 |   0 |    10 |   0 |    0 |   0 |
|     1 | GET    | /api/support/tickets                                                         | 0.008 | 0.008 |    0.008 | 0.008 | 0.008 |   0 |     0 |   0 |    1 |   0 |
|    10 | GET    | /isu/[0-9a-z-]+/graph                                                        | 0.000 | 0.004 |    0.004 | 0.000 | 0.004 |   0 |    10 |   0 |    0 |   0 |
|     3 | GET    | /register                                                                    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     1 |   2 |    0 |   0 |
|     1 | GET    | /open/api/v2/market/depth                                                    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     0 |   0 |    1 |   0 |
|     1 | GET    | /owa/auth/x.js                                                               | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     0 |   0 |    1 |   0 |
|     1 | GET    | /ecp/Current/exporttool/microsoft.exchange.ediscovery.exporttool.application | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     0 |   0 |    1 |   0 |
|     1 | GET    | /api/v1/accounts                                                             | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     0 |   0 |    1 |   0 |
+-------+--------+------------------------------------------------------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
