+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX  | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
| 49805 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.116 | 2780.511 | 0.056 | 0.104 |   0 | 48078 |   0 | 1727 |   0 |
|  1760 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.296 |  181.000 | 0.103 | 0.244 |   0 |  1694 |   0 |   66 |   0 |
|  1586 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.280 |  171.209 | 0.108 | 0.232 |   0 |  1427 |   0 |  159 |   0 |
|   963 | GET    | /api/isu/[0-9a-z-]           | 0.004 | 0.344 |  116.241 | 0.121 | 0.284 |   0 |   787 |   0 |  176 |   0 |
|    68 | GET    | /api/trend                   | 0.032 | 1.012 |   60.000 | 0.882 | 1.012 |   0 |     9 |   0 |   59 |   0 |
|   267 | GET    | /api/isu                     | 0.020 | 0.476 |   59.469 | 0.223 | 0.420 |   0 |   243 |   0 |   24 |   0 |
|   127 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.532 |   20.748 | 0.163 | 0.488 |   0 |    71 |  56 |    0 |   0 |
|   291 | POST   | /api/auth                    | 0.004 | 0.196 |   17.280 | 0.059 | 0.184 |   0 |   114 |   0 |  177 |   0 |
|   143 | GET    | /                            | 0.008 | 0.160 |   10.740 | 0.075 | 0.156 |   0 |   119 |  24 |    0 |   0 |
|    55 | POST   | /api/isu                     | 0.004 | 0.348 |    9.728 | 0.177 | 0.348 |   0 |    51 |   0 |    4 |   0 |
|   127 | GET    | /assets/logo_white.svg       | 0.020 | 0.196 |    7.340 | 0.058 | 0.160 |   0 |    71 |  56 |    0 |   0 |
|   127 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.184 |    7.204 | 0.057 | 0.152 |   0 |    71 |  56 |    0 |   0 |
|   127 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.184 |    7.204 | 0.057 | 0.152 |   0 |    71 |  56 |    0 |   0 |
|   127 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.184 |    7.124 | 0.056 | 0.152 |   0 |    71 |  56 |    0 |   0 |
|   108 | GET    | /api/user/me                 | 0.016 | 0.148 |    6.141 | 0.057 | 0.148 |   0 |    48 |   0 |   60 |   0 |
|    70 | GET    | /assets/logo_orange.svg      | 0.004 | 0.196 |    5.920 | 0.085 | 0.196 |   0 |    70 |   0 |    0 |   0 |
|    64 | POST   | /api/signout                 | 0.004 | 0.260 |    4.376 | 0.068 | 0.260 |   0 |    40 |   0 |   24 |   0 |
|     1 | POST   | /initialize                  | 0.316 | 0.316 |    0.316 | 0.316 | 0.316 |   0 |     1 |   0 |    0 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.004 | 0.004 |    0.012 | 0.001 | 0.004 |   0 |     6 |  12 |    0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.008 | 0.008 |    0.008 | 0.001 | 0.008 |   0 |     6 |   0 |    0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.004 |    0.008 | 0.001 | 0.004 |   0 |     6 |   0 |    0 |   0 |
|     3 | GET    | /register                    | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     1 |   2 |    0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+------+-----+
