+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-------+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX |  4XX  | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-------+-----+
| 32342 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.132 | 3061.920 | 0.095 | 0.108 |   0 | 13799 |   0 | 18543 |   0 |
|  1910 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.324 |  242.104 | 0.127 | 0.276 |   0 |  1861 |   0 |    49 |   0 |
|   213 | GET    | /api/trend                   | 0.028 | 1.004 |  168.912 | 0.793 | 1.004 |   0 |   180 |   0 |    33 |   0 |
|  1208 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.360 |  151.900 | 0.126 | 0.240 |   0 |  1095 |   0 |   113 |   0 |
|  1041 | GET    | /api/isu/[0-9a-z-]           | 0.004 | 0.372 |  141.660 | 0.136 | 0.308 |   0 |   908 |   0 |   133 |   0 |
|   288 | GET    | /api/isu                     | 0.008 | 0.344 |   46.760 | 0.162 | 0.312 |   0 |   272 |   0 |    16 |   0 |
|   266 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.344 |   35.904 | 0.135 | 0.316 |   0 |    86 | 180 |     0 |   0 |
|   294 | GET    | /                            | 0.004 | 0.248 |   35.160 | 0.120 | 0.224 |   0 |   146 | 148 |     0 |   0 |
|   266 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.284 |   29.996 | 0.113 | 0.248 |   0 |    86 | 180 |     0 |   0 |
|   266 | GET    | /assets/favicon.d0f5f504.svg | 0.008 | 0.272 |   29.024 | 0.109 | 0.244 |   0 |    86 | 180 |     0 |   0 |
|   266 | GET    | /assets/index.144d8ca8.css   | 0.004 | 0.272 |   28.524 | 0.107 | 0.248 |   0 |    86 | 180 |     0 |   0 |
|   266 | GET    | /assets/logo_white.svg       | 0.004 | 0.308 |   28.328 | 0.106 | 0.280 |   0 |    86 | 180 |     0 |   0 |
|   215 | GET    | /assets/logo_orange.svg      | 0.004 | 0.292 |   27.780 | 0.129 | 0.264 |   0 |    85 | 130 |     0 |   0 |
|   237 | POST   | /api/auth                    | 0.004 | 0.220 |   25.380 | 0.107 | 0.216 |   0 |   108 |   0 |   129 |   0 |
|   126 | GET    | /api/user/me                 | 0.004 | 0.248 |   13.576 | 0.108 | 0.220 |   0 |    60 |   0 |    66 |   0 |
|    58 | POST   | /api/isu                     | 0.008 | 0.408 |   10.856 | 0.187 | 0.408 |   0 |    54 |   0 |     4 |   0 |
|    70 | POST   | /api/signout                 | 0.020 | 0.216 |    7.388 | 0.106 | 0.216 |   0 |    52 |   0 |    18 |   0 |
|     1 | POST   | /initialize                  | 0.316 | 0.316 |    0.316 | 0.316 | 0.316 |   0 |     1 |   0 |     0 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.004 |    0.016 | 0.001 | 0.004 |   0 |     6 |  12 |     0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.004 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |     6 |   0 |     0 |   0 |
|     3 | GET    | /register                    | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |     1 |   2 |     0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.000 |    0.000 | 0.000 | 0.000 |   0 |     6 |   0 |     0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-------+-----+
