+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX  | 3XX | 4XX | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
| 53427 | POST   | /api/condition/[0-9a-z-]+    | 0.004 | 0.116 | 2687.788 | 0.050 | 0.100 |   0 | 52768 |   0 | 659 |   0 |
|  1929 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.320 |  178.928 | 0.093 | 0.260 |   0 |  1857 |   0 |  72 |   0 |
|  1835 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.328 |  169.628 | 0.092 | 0.196 |   0 |  1662 |   0 | 173 |   0 |
|  1069 | GET    | /api/isu/[0-9a-z-]           | 0.016 | 0.312 |  110.968 | 0.104 | 0.204 |   0 |   874 |   0 | 195 |   0 |
|    75 | GET    | /api/trend                   | 0.024 | 1.012 |   67.964 | 0.906 | 1.012 |   0 |     9 |   0 |  66 |   0 |
|   294 | GET    | /api/isu                     | 0.016 | 0.416 |   58.340 | 0.198 | 0.388 |   0 |   268 |   0 |  26 |   0 |
|   330 | POST   | /api/auth                    | 0.004 | 0.300 |   20.920 | 0.063 | 0.272 |   0 |   130 |   0 | 200 |   0 |
|   137 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.380 |   20.864 | 0.152 | 0.368 |   0 |    78 |  59 |   0 |   0 |
|   160 | GET    | /                            | 0.012 | 0.132 |   10.364 | 0.065 | 0.120 |   0 |   133 |  27 |   0 |   0 |
|    55 | POST   | /api/isu                     | 0.004 | 0.332 |   10.264 | 0.187 | 0.332 |   0 |    51 |   0 |   4 |   0 |
|   137 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.160 |    7.488 | 0.055 | 0.160 |   0 |    78 |  59 |   0 |   0 |
|   137 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.160 |    7.428 | 0.054 | 0.156 |   0 |    78 |  59 |   0 |   0 |
|   137 | GET    | /assets/index.144d8ca8.css   | 0.012 | 0.160 |    7.420 | 0.054 | 0.156 |   0 |    78 |  59 |   0 |   0 |
|   137 | GET    | /assets/logo_white.svg       | 0.012 | 0.140 |    6.960 | 0.051 | 0.132 |   0 |    78 |  59 |   0 |   0 |
|    77 | GET    | /assets/logo_orange.svg      | 0.004 | 0.140 |    5.828 | 0.076 | 0.140 |   0 |    77 |   0 |   0 |   0 |
|   125 | GET    | /api/user/me                 | 0.012 | 0.140 |    5.812 | 0.046 | 0.120 |   0 |    55 |   0 |  70 |   0 |
|    74 | POST   | /api/signout                 | 0.004 | 0.240 |    4.520 | 0.061 | 0.240 |   0 |    47 |   0 |  27 |   0 |
|     1 | POST   | /initialize                  | 0.296 | 0.296 |    0.296 | 0.296 | 0.296 |   0 |     1 |   0 |   0 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.004 | 0.004 |    0.016 | 0.001 | 0.004 |   0 |     6 |  12 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.008 | 0.008 |    0.012 | 0.002 | 0.008 |   0 |     6 |   0 |   0 |   0 |
|     3 | GET    | /register                    | 0.000 | 0.004 |    0.008 | 0.003 | 0.004 |   0 |     1 |   2 |   0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.004 |    0.008 | 0.001 | 0.004 |   0 |     6 |   0 |   0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-------+-----+-----+-----+
