+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-----+-----+-------+-----+
| COUNT | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX | 2XX | 3XX |  4XX  | 5XX |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-----+-----+-------+-----+
| 27659 | POST   | /api/condition/[0-9a-z-]+    | 0.012 | 0.128 | 2794.776 | 0.101 | 0.112 |   0 | 246 |   0 | 27413 |   0 |
|   173 | GET    | /api/isu                     | 0.004 | 1.016 |  159.164 | 0.920 | 1.012 |   0 |  15 |   0 |   158 |   0 |
|   158 | POST   | /api/isu                     | 0.016 | 1.020 |  125.652 | 0.795 | 1.012 |   0 |  47 |   0 |   111 |   0 |
|   192 | GET    | /api/isu/[0-9a-z-]           | 0.004 | 1.012 |  120.488 | 0.628 | 1.012 |   0 |  66 |   0 |   126 |   0 |
|    66 | POST   | /api/auth                    | 0.004 | 1.492 |   35.472 | 0.537 | 1.492 |   0 |  19 |   0 |    47 |   0 |
|    87 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 1.012 |   27.752 | 0.319 | 1.012 |   0 |  76 |   0 |    11 |   0 |
|     9 | GET    | /api/trend                   | 0.060 | 1.008 |    6.348 | 0.705 | 1.008 |   0 |   4 |   0 |     5 |   0 |
|    49 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 3.008 |    4.756 | 0.097 | 3.008 |   0 |  12 |  36 |     1 |   0 |
|    36 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 1.000 |    4.648 | 0.129 | 1.000 |   0 |  21 |   0 |    15 |   0 |
|    49 | GET    | /assets/index.23dac98b.js    | 0.032 | 3.004 |    3.924 | 0.080 | 3.004 |   0 |  12 |  36 |     1 |   0 |
|    49 | GET    | /assets/index.144d8ca8.css   | 0.004 | 3.004 |    3.776 | 0.077 | 3.004 |   0 |  12 |  36 |     1 |   0 |
|    49 | GET    | /assets/favicon.d0f5f504.svg | 0.024 | 3.008 |    3.768 | 0.077 | 3.008 |   0 |  12 |  36 |     1 |   0 |
|    49 | GET    | /assets/logo_white.svg       | 0.008 | 3.000 |    3.424 | 0.070 | 3.000 |   0 |  12 |  36 |     1 |   0 |
|    27 | GET    | /                            | 0.008 | 2.364 |    3.024 | 0.112 | 2.364 |   0 |  22 |   5 |     0 |   0 |
|     7 | POST   | /api/signout                 | 0.004 | 1.864 |    1.948 | 0.278 | 1.864 |   0 |   2 |   0 |     5 |   0 |
|    13 | GET    | /api/user/me                 | 0.004 | 1.004 |    1.500 | 0.115 | 1.004 |   0 |  10 |   0 |     3 |   0 |
|    11 | GET    | /assets/logo_orange.svg      | 0.008 | 0.092 |    0.388 | 0.035 | 0.092 |   0 |  11 |   0 |     0 |   0 |
|     1 | POST   | /initialize                  | 0.336 | 0.336 |    0.336 | 0.336 | 0.336 |   0 |   1 |   0 |     0 |   0 |
|    18 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.016 |    0.056 | 0.003 | 0.016 |   0 |   6 |  12 |     0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.008 |    0.020 | 0.003 | 0.008 |   0 |   6 |   0 |     0 |   0 |
|     6 | GET    | /isu/[0-9a-z-]+              | 0.004 | 0.008 |    0.020 | 0.003 | 0.008 |   0 |   6 |   0 |     0 |   0 |
|     3 | GET    | /register                    | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |   1 |   2 |     0 |   0 |
+-------+--------+------------------------------+-------+-------+----------+-------+-------+-----+-----+-----+-------+-----+
