+--------+--------+------------------------------+-------+-------+----------+-------+-------+-----+--------+-----+------+-----+
| COUNT  | METHOD |             URI              |  MIN  |  MAX  |   SUM    |  AVG  |  P99  | 1XX |  2XX   | 3XX | 4XX  | 5XX |
+--------+--------+------------------------------+-------+-------+----------+-------+-------+-----+--------+-----+------+-----+
| 116544 | POST   | /api/condition/[0-9a-z-]+    | 0.000 | 0.112 | 5476.452 | 0.047 | 0.100 |   0 | 115466 |   0 | 1078 |   0 |
|   4516 | GET    | /api/condition/[0-9a-z-]+    | 0.004 | 0.388 |  373.160 | 0.083 | 0.204 |   0 |   4137 |   0 |  379 |   0 |
|   2474 | GET    | /api/isu/[0-9a-z-]           | 0.004 | 0.388 |  228.360 | 0.092 | 0.204 |   0 |   2033 |   0 |  441 |   0 |
|    191 | GET    | /api/trend                   | 0.024 | 1.020 |  176.180 | 0.922 | 1.012 |   0 |     18 |   0 |  173 |   0 |
|    749 | GET    | /api/isu                     | 0.004 | 0.484 |  135.836 | 0.181 | 0.344 |   0 |    691 |   0 |   58 |   0 |
|   1161 | GET    | /api/isu/[0-9a-z-]+/icon     | 0.004 | 0.220 |   80.084 | 0.069 | 0.124 |   0 |    996 |   0 |  165 |   0 |
|    324 | GET    | /assets/vendor.ee7444dd.js   | 0.004 | 0.412 |   52.572 | 0.162 | 0.408 |   0 |    201 | 123 |    0 |   0 |
|    756 | POST   | /api/auth                    | 0.016 | 0.268 |   40.704 | 0.054 | 0.264 |   0 |    316 |   0 |  440 |   0 |
|    411 | GET    | /                            | 0.004 | 0.180 |   26.528 | 0.065 | 0.132 |   0 |    352 |  59 |    0 |   0 |
|    110 | POST   | /api/isu                     | 0.004 | 0.436 |   18.820 | 0.171 | 0.384 |   0 |    102 |   0 |    8 |   0 |
|    325 | GET    | /assets/index.23dac98b.js    | 0.004 | 0.160 |   17.948 | 0.055 | 0.128 |   0 |    202 | 123 |    0 |   0 |
|    324 | GET    | /assets/favicon.d0f5f504.svg | 0.004 | 0.160 |   17.832 | 0.055 | 0.128 |   0 |    201 | 123 |    0 |   0 |
|    324 | GET    | /assets/index.144d8ca8.css   | 0.008 | 0.156 |   17.736 | 0.055 | 0.128 |   0 |    201 | 123 |    0 |   0 |
|    324 | GET    | /assets/logo_white.svg       | 0.000 | 0.152 |   16.836 | 0.052 | 0.148 |   0 |    198 | 125 |    1 |   0 |
|    341 | GET    | /api/user/me                 | 0.008 | 0.304 |   15.452 | 0.045 | 0.160 |   0 |    154 |   0 |  187 |   0 |
|    196 | GET    | /assets/logo_orange.svg      | 0.000 | 0.156 |   14.392 | 0.073 | 0.152 |   0 |    195 |   0 |    1 |   0 |
|    195 | POST   | /api/signout                 | 0.008 | 0.364 |   11.424 | 0.059 | 0.196 |   0 |    136 |   0 |   59 |   0 |
|      2 | POST   | /initialize                  | 0.384 | 0.408 |    0.792 | 0.396 | 0.408 |   0 |      2 |   0 |    0 |   0 |
|     36 | GET    | /isu/[0-9a-z-]+/condition    | 0.000 | 0.004 |    0.036 | 0.001 | 0.004 |   0 |     12 |  24 |    0 |   0 |
|     12 | GET    | /isu/[0-9a-z-]+              | 0.004 | 0.004 |    0.028 | 0.002 | 0.004 |   0 |     12 |   0 |    0 |   0 |
|     12 | GET    | /isu/[0-9a-z-]+/graph        | 0.000 | 0.004 |    0.008 | 0.001 | 0.004 |   0 |     12 |   0 |    0 |   0 |
|      6 | GET    | /register                    | 0.000 | 0.004 |    0.004 | 0.001 | 0.004 |   0 |      2 |   4 |    0 |   0 |
+--------+--------+------------------------------+-------+-------+----------+-------+-------+-----+--------+-----+------+-----+
